Ammonia MQ135,Co2,Alcohol,Methane,Hydrogen Sulfide,LPG,Hydrogen,Ammonia MQ137,label,Time,TVC
1.87,605.18,46.81,62.7,0.56,1.06,56.55,0.28,1,0.0775,3.57
1.87,605.18,47,67.88,0.55,1.03,56.61,0.29,1,0.077777778,3.57
1.89,605.18,47,67.27,0.56,1.06,56.57,0.29,1,0.078055556,3.57
1.88,605.18,47.09,66.26,0.56,1.06,56.61,0.25,1,0.078333333,3.57
1.89,605.18,46.63,65.65,0.56,1.06,56.65,0.29,1,0.078611111,3.57
1.88,605.18,46.91,66.26,0.56,1.06,56.65,0.29,1,0.078888889,3.57
1.89,605.18,47,67.07,0.56,1.06,56.71,0.28,1,0.079166667,3.57
1.88,605.18,47,67.07,0.56,1.06,56.78,0.29,1,0.079444444,3.57
1.89,605.18,47,67.07,0.55,1.06,56.72,0.29,1,0.079722222,3.57
1.87,605.18,47,67.68,0.56,1.06,56.78,0.29,1,0.08,3.57
1.89,605.18,47.18,68.71,0.56,1.06,56.71,0.29,1,0.080277778,3.57
1.88,605.18,47.28,67.07,0.57,1.06,56.74,0.29,1,0.080555556,3.57
1.9,605.18,47,68.09,0.56,1.06,56.72,0.29,1,0.080833333,3.57
1.77,605.18,47,68.5,0.57,1.06,56.69,0.29,1,0.081111111,3.57
1.88,605.18,47,67.68,0.57,1.06,56.74,0.29,1,0.081388889,3.57
1.82,605.18,47,68.09,0.57,1.05,56.74,0.28,1,0.081666667,3.57
1.9,605.18,46.91,67.07,0.56,1.06,56.74,0.29,1,0.081944444,3.57
1.81,605.18,46.91,67.07,0.57,1.06,56.78,0.29,1,0.082222222,3.57
1.78,605.18,47,67.88,0.57,1.05,56.76,0.29,1,0.0825,3.57
1.9,605.18,47,67.88,0.57,1.06,56.92,0.29,1,0.082777778,3.57
1.9,605.18,46.91,67.88,0.57,1.06,56.9,0.28,1,0.083055556,3.57
1.9,605.18,47,67.88,0.57,1.06,56.9,0.29,1,0.083333333,3.57
1.91,605.18,47,68.09,0.56,1.06,56.78,0.3,1,0.083611111,3.57
1.9,605.18,47,67.88,0.57,1.06,56.94,0.29,1,0.083888889,3.57
1.92,605.18,47,67.07,0.57,1.06,56.8,0.29,1,0.084166667,3.57
2.32,605.18,47,67.88,0.56,1.07,56.9,0.28,1,0.084444444,3.57
1.91,605.18,46.81,67.07,0.57,1.06,57.07,0.29,1,0.084722222,3.57
1.81,605.18,46.63,67.68,0.56,1.06,57.05,0.29,1,0.085,3.57
1.91,605.18,46.81,67.07,0.57,1.06,56.94,0.29,1,0.085277778,3.57
1.9,605.18,47.09,66.46,0.57,1.06,57.02,0.29,1,0.085555556,3.57
1.91,605.18,46.63,67.68,0.57,1.07,57.05,0.29,1,0.085833333,3.57
1.97,605.18,47,67.47,0.57,1.06,57.07,0.29,1,0.086111111,3.57
1.91,605.18,47,67.68,0.57,1.06,57.13,0.37,1,0.086388889,3.57
1.87,605.18,46.91,67.47,0.57,1.05,57.07,0.29,1,0.086666667,3.57
1.89,605.18,47,67.27,0.57,1.06,57.05,0.29,1,0.086944444,3.57
1.89,605.18,46.81,67.07,0.57,1.06,57.07,0.29,1,0.087222222,3.57
